20170109090245000092|17009055|ANL302609/ANL|20170109|20170112|0.092|kg|||T
D-00000211|1|100|10|0|mg|S||2|1||201701101126|0
D-00000211|1|100|10|0|mg|S||2|2||201701101214|0
D-00000211|1|100|10|100|mg|T||2|3||201701121521|10
D-00000211|1|100|10|100|mg|T||2|4||201701121744|50
D-00000159|2|100|10|0|mg|S||2|1||201701101126|0
D-00000159|2|100|10|0|mg|S||2|2||201701101214|0
D-00000159|2|100|10|90|mg|T||2|3||201701121521|17
D-00000159|2|100|10|100|mg|T||2|4||201701121743|18
001048|3|2000|20|1988|mg|T|428263|1|1||201701091953|13
001048|3|2000|20|1982|mg|T|428263|1|2||201701101202|13
001048|3|2000|20|1980|mg|T|428263|1|3||201701101428|13
001048|3|2000|20|1980|mg|T|428263|1|4||201701121611|18
001180|4|300|10|290|mg|T|423825|1|1||201701091907|10
001180|4|300|10|302|mg|T|423825|1|2||201701101147|10
001180|4|300|10|297|mg|T|423825|1|3||201701101413|10
001180|4|300|10|296|mg|T|423825|1|4||201701121600|10
FFP001073|5|1500|15|0|mg|S||2|1||201701101126|0
FFP001073|5|1500|15|0|mg|S||2|2||201701101214|0
FFP001073|5|1500|15|1500|mg|T||2|3||201701111807|24
FFP001073|5|1500|15|900|mg|<||2|4||201701121747|72
FFP001073|5|600|15|590|mg|T||2|4||201701121753|36
BYC4043TEU|6|10000|30|0|mg|S||1|1||201701091951|0
BYC4043TEU|6|10000|100|0|mg|S||2|1||201701101126|0
BYC4043TEU|6|10000|30|0|mg|S||1|2||201701101200|0
BYC4043TEU|6|10000|100|0|mg|S||2|2||201701101214|0
BYC4043TEU|6|10000|30|0|mg|S||1|3||201701101427|0
BYC4043TEU|6|10000|100|9990|mg|T||2|3||201701121518|155
BYC4043TEU|6|10000|30|0|mg|S||1|4||201701121610|0
BYC4043TEU|6|10000|100|9990|mg|T||2|4||201701121742|48
D-00052485|7|1000|10|0|mg|S||2|1||201701101126|0
D-00052485|7|1000|10|0|mg|S||2|2||201701101214|0
