20170616022333000100|17167019|JDM181332AQ/JDM|20170616|20170616|0.1|kg|||T
001068|1|400|10|399|mg|T|434875|1|1||201706161217|10
001068|1|400|10|399|mg|T|434875|1|2||201706161505|10
001068|1|400|10|401|mg|T|434875|1|3||201706161619|10
D-00095104|2|100|10|0|mg|S||2|1||201706161437|0
D-00095104|2|100|10|0|mg|S||2|2||201706161548|0
D-00095104|2|100|10|90|mg|T||2|3|LGIME|201706161638|17
BYC4027TEU|3|500|10|0|mg|S||2|1||201706161437|0
BYC4027TEU|3|500|10|490|mg|T||2|2|LGIME|201706161533|31
BYC4027TEU|3|500|10|500|mg|T||2|3|LGIME|201706161633|71
D-00022349|4|500|10|0|mg|S||2|1||201706161437|0
D-00022349|4|500|10|490|mg|T||2|2|LGIME|201706161535|40
D-00022349|4|500|10|490|mg|T||2|3|LGIME|201706161636|38
002001|5|1000|10|1001|mg|T|435436|1|1||201706161205|13
002001|5|1000|10|1000|mg|T|435436|1|2||201706161454|13
002001|5|1000|10|1000|mg|T|435436|1|3||201706161613|13
002013|6|500|10|499|mg|T|438110|1|1||201706161201|9
002013|6|500|10|498|mg|T|438110|1|2||201706161451|9
002013|6|500|10|505|mg|T|438110|1|3||201706161611|9
FFP002026|7|6000|30|6003|mg|T|433383|1|1||201706161157|18
FFP002026|7|6000|30|6000|mg|T|433383|1|2||201706161446|17
FFP002026|7|6000|30|5997|mg|T|433383|1|3||201706161607|17
002051|8|1000|10|997|mg|T|431974|1|1||201706161159|11
002051|8|1000|10|996|mg|T|431974|1|2||201706161449|11
002051|8|1000|10|996|mg|T|431974|1|3||201706161610|11
002054|9|100|10|100|mg|T||2|1|LGIME|201706161427|19
002054|9|100|10|100|mg|T||2|2|LGIME|201706161536|16
002054|9|100|10|100|mg|T||2|3|LGIME|201706161628|17
FFP003004|10|200|10|0|mg|S||2|1||201706161437|0
FFP003004|10|200|10|190|mg|T||2|2|LGIME|201706161538|22
FFP003004|10|200|10|190|mg|T||2|3|LGIME|201706161639|26
003028|11|4000|40|0|mg|S||2|1||201706161437|0
003028|11|4000|40|4000|mg|T||2|2|LGIME|201706161528|40
003028|11|4000|40|3990|mg|T||2|3|LGIME|201706161628|23
090253|12|200|10|199|mg|T|439043|1|1||201706161217|9
090253|12|200|10|200|mg|T|439043|1|2||201706161506|9
090253|12|200|10|197|mg|T|439043|1|3||201706161620|9
003336|13|500|10|497|mg|T|436126|1|1||201706161212|10
003336|13|500|10|499|mg|T|436126|1|2||201706161459|10
003336|13|500|10|499|mg|T|436126|1|3||201706161617|10
003069|14|100|10|90|mg|T||2|1|LGIME|201706161429|16
003069|14|100|10|90|mg|T||2|2|LGIME|201706161528|9
003069|14|100|10|0|mg|<||2|3|LGIME|201706161628|20
003069|14|100|10|90|mg|T||2|3|LGIME|201706161644|15
003096|15|200|10|201|mg|T|438416|1|1||201706161157|9
003096|15|200|10|199|mg|T|438416|1|2||201706161446|9
003096|15|200|10|200|mg|T|438416|1|3||201706161607|9
003153|16|200|10|194|mg|T|437591|1|1||201706161206|9
003153|16|200|10|192|mg|T|437591|1|2||201706161455|9
003153|16|200|10|192|mg|T|437591|1|3||201706161614|9
D-00047085|17|500|10|0|mg|S||1|1||201706161202|0
D-00047085|17|500|10|490|mg|T||2|1|LGIME|201706161433|18
D-00047085|17|500|10|0|mg|S||1|2||201706161451|0
D-00047085|17|500|10|490|mg|T||2|2|LGIME|201706161536|24
D-00047085|17|500|10|0|mg|S||1|3||201706161612|0
D-00047085|17|500|10|500|mg|T||2|3|LGIME|201706161637|32
D-00000015|18|200|10|191|mg|T|170404094659|1|1||201706161158|10
D-00000015|18|200|10|207|mg|T|170404094659|1|2||201706161447|10
D-00000015|18|200|10|201|mg|T|170404094659|1|3||201706161608|10
004023|19|500|10|499|mg|T|437647|1|1||201706161219|10
004023|19|500|10|503|mg|T|437647|1|2||201706161507|10
004023|19|500|10|495|mg|T|437647|1|3||201706161621|10
004043|20|400|10|390|mg|T||2|1|LGIME|201706161429|26
004043|20|400|10|390|mg|T||2|2|LGIME|201706161529|15
004043|20|400|10|390|mg|T||2|3|LGIME|201706161629|31
D-00001109|21|300|10|0|mg|S||2|1||201706161437|0
D-00001109|21|300|10|290|mg|T||2|2|LGIME|201706161534|41
D-00001109|21|300|10|290|mg|T||2|3|LGIME|201706161635|18
005028|22|7000|30|7003|mg|T|433899|1|1||201706161152|19
005028|22|7000|30|6993|mg|T|433899|1|2||201706161442|18
005028|22|7000|30|7002|mg|T|433899|1|3||201706161603|19
FFP005055|23|1000|10|0|mg|S||2|1||201706161437|0
FFP005055|23|1000|10|1000|mg|T||2|2|LGIME|201706161540|22
FFP005055|23|1000|10|1000|mg|T||2|3|LGIME|201706161639|22
007113|24|5000|50|5020|mg|T||2|1|LGIME|201706161430|42
007113|24|5000|50|5020|mg|T||2|2|LGIME|201706161530|59
007113|24|5000|50|4990|mg|T||2|3|LGIME|201706161630|47
007019|25|500|10|500|mg|T|436825|1|1||201706161154|10
007019|25|500|10|498|mg|T|436825|1|2||201706161444|10
007019|25|500|10|501|mg|T|436825|1|3||201706161605|10
007030|26|500|10|501|mg|T|437940|1|1||201706161206|9
007030|26|500|10|495|mg|T|437940|1|2||201706161456|9
007030|26|500|10|500|mg|T|437940|1|3||201706161615|9
008003|27|17000|100|17002|mg|T|437415|1|1||201706161200|25
008003|27|17000|100|17001|mg|T|437415|1|2||201706161449|26
008003|27|17000|100|17004|mg|T|437415|1|3||201706161610|26
008004|28|2000|20|1997|mg|T|436649|1|1||201706161158|12
